,theme,locations,start_time,end_time,sources,df_indexes,affected_sectors,severity_ratio,answer_ratio
37,Vientos fuertes,"['Cantabria', 'Lugo', 'A Coruna', 'Pontevedra']",2023-10-24,2023-11-01,"[4, 10, 13, 78, 175, 238, 113, 178]","[153, 59, 7, 119]","['Energia', 'Sanidad', 'Transporte', 'Aguas Residuales']","{'Transporte': (0.125, 0.6818181818181818, 1.0), 'Energia': (0.47619047619047616, 0.6547619047619048, 0.7142857142857143), 'Aguas Residuales': (0.7352941176470589, 0.7352941176470589, 0.7352941176470589)}","{5: (0.25, 0.84375, 1.0), 6: (0.75, 0.8888888888888888, 1.0), 7: (0.5, 0.8125, 1.0), 8: (0.75, 0.9722222222222222, 1.0), 0: (0.75, 0.9375, 1.0), 1: (0.5, 0.875, 1.0), 17: (1.0, 1.0, 1.0), 19: (0.75, 0.75, 0.75)}"
38,Tempestad,['Asturias'],2023-10-24,2023-11-01,[13],[24],"['Energia', 'Transporte']","{'Energia': (0.7142857142857143, 0.7142857142857143, 0.7142857142857143), 'Transporte': (1.0, 1.0, 1.0)}","{0: (1.0, 1.0, 1.0), 1: (1.0, 1.0, 1.0), 5: (1.0, 1.0, 1.0), 6: (1.0, 1.0, 1.0), 7: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
39,Inundacion,['A Coruna'],2023-11-07,2023-11-15,"[16, 15]",[4],['Transporte'],"{'Transporte': (0.25, 0.375, 0.5)}","{7: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
40,Desbordamientos,"['A Coruna', 'Pontevedra']",2023-11-06,2023-11-19,"[16, 111, 110, 15]","[152, 4]","['Transporte', 'Agua y Alimentos']","{'Transporte': (0.25, 0.3333333333333333, 0.5), 'Agua y Alimentos': (0.3333333333333333, 0.3333333333333333, 0.3333333333333333)}","{7: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0)}"
41,Crecida,"['A Coruna', 'Pontevedra']",2023-11-06,2023-11-19,"[16, 111, 15]","[152, 4]","['Transporte', 'Agua y Alimentos']","{'Transporte': (0.25, 0.375, 0.5), 'Agua y Alimentos': (0.3333333333333333, 0.3333333333333333, 0.3333333333333333)}","{7: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0)}"
42,Inundacion,"['A Coruna', 'Pontevedra']",2023-10-20,2023-10-24,"[3, 4, 5, 6, 7, 10, 106, 108, 107]","[2, 151]","['Infraestructura digital', 'Transporte', 'Aguas Residuales']","{'Transporte': (0.25, 0.5852272727272727, 0.9375), 'Aguas Residuales': (0.7352941176470589, 0.9117647058823529, 1.0), 'Infraestructura digital': (0.045454545454545456, 0.045454545454545456, 0.045454545454545456)}","{5: (0.25, 0.8333333333333334, 1.0), 6: (0.75, 0.9166666666666666, 1.0), 7: (0.5, 0.7083333333333334, 1.0), 8: (1.0, 1.0, 1.0), 17: (1.0, 1.0, 1.0), 18: (1.0, 1.0, 1.0), 19: (0.75, 0.9166666666666666, 1.0), 21: (0.25, 0.25, 0.25)}"
43,Luvias Intensas,"['A Coruna', 'Pontevedra']",2023-10-20,2023-10-24,"[4, 7, 8, 10, 12, 109]","[2, 151]","['Transporte', 'Aguas Residuales']","{'Transporte': (0.1875, 0.6354166666666666, 0.9375), 'Aguas Residuales': (0.7352941176470589, 0.7352941176470589, 0.7352941176470589)}","{5: (0.25, 0.7, 1.0), 8: (0.75, 0.9583333333333334, 1.0), 6: (0.75, 0.9375, 1.0), 7: (0.5, 0.75, 1.0), 17: (1.0, 1.0, 1.0), 19: (0.75, 0.75, 0.75)}"
44,Desbordamientos,"['A Coruna', 'Pontevedra']",2023-10-20,2023-10-24,"[9, 10, 11, 108, 106, 107]","[2, 151]","['Infraestructura digital', 'Transporte', 'Sanidad', 'Aguas Residuales']","{'Transporte': (0.25, 0.35714285714285715, 0.5625), 'Sanidad': (0.08333333333333333, 0.08333333333333333, 0.08333333333333333), 'Aguas Residuales': (0.7352941176470589, 0.8676470588235294, 1.0), 'Infraestructura digital': (0.045454545454545456, 0.045454545454545456, 0.045454545454545456)}","{5: (0.25, 0.3333333333333333, 0.5), 8: (1.0, 1.0, 1.0), 11: (0.25, 0.25, 0.25), 6: (1.0, 1.0, 1.0), 17: (1.0, 1.0, 1.0), 19: (0.75, 0.875, 1.0), 18: (1.0, 1.0, 1.0), 21: (0.25, 0.25, 0.25)}"
45,Crecida,"['A Coruna', 'Pontevedra']",2023-10-20,2023-10-24,"[10, 107, 11, 108, 106]","[2, 151]","['Infraestructura digital', 'Transporte', 'Aguas Residuales']","{'Transporte': (0.25, 0.375, 0.5625), 'Aguas Residuales': (0.7352941176470589, 0.8676470588235294, 1.0), 'Infraestructura digital': (0.045454545454545456, 0.045454545454545456, 0.045454545454545456)}","{5: (0.25, 0.3333333333333333, 0.5), 8: (1.0, 1.0, 1.0), 6: (1.0, 1.0, 1.0), 17: (1.0, 1.0, 1.0), 19: (0.75, 0.875, 1.0), 18: (1.0, 1.0, 1.0), 21: (0.25, 0.25, 0.25)}"
46,Dana,"['A Coruna', 'Pontevedra']",2023-10-20,2023-10-24,"[3, 12]","[2, 151]",['Transporte'],"{'Transporte': (0.9375, 0.9375, 0.9375)}","{5: (0.75, 0.875, 1.0), 6: (1.0, 1.0, 1.0), 7: (0.75, 0.875, 1.0), 8: (1.0, 1.0, 1.0)}"
