,theme,locations,start_time,end_time,sources,df_indexes,affected_sectors,severity_ratio,answer_ratio
76,Temporal,['Ciudad Real'],2023-09-03,2023-09-04,[266],[68],['Transporte'],"{'Transporte': (0.25, 0.25, 0.25)}","{7: (1.0, 1.0, 1.0)}"
77,Tempestad,['Castellon'],2023-09-12,2023-09-13,"[163, 165, 242, 245, 246]",[64],"['Transporte', 'Agua y Alimentos']","{'Transporte': (0.0, 0.1875, 0.375), 'Agua y Alimentos': (0.5833333333333334, 0.625, 0.6666666666666666)}","{7: (0.0, 0.5, 0.75), 8: (1.0, 1.0, 1.0), 14: (0.75, 0.875, 1.0), 16: (1.0, 1.0, 1.0)}"
78,Borrasca,['Castellon'],2023-09-12,2023-09-13,"[246, 247]",[64],"['Agua y Alimentos', 'Transporte']","{'Agua y Alimentos': (0.6666666666666666, 0.6666666666666666, 0.6666666666666666), 'Transporte': (0.25, 0.25, 0.25)}","{14: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
79,Temporal,['Castellon'],2023-09-12,2023-09-13,"[248, 249, 250, 251, 252, 253]",[64],"['Transporte', 'Agua y Alimentos']","{'Transporte': (0.125, 0.2708333333333333, 0.4375), 'Agua y Alimentos': (0.6666666666666666, 0.6666666666666666, 0.6666666666666666)}","{8: (1.0, 1.0, 1.0), 7: (0.25, 0.5, 0.75), 14: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0)}"
80,Vientos fuertes,['Castellon'],2023-09-12,2023-09-13,"[165, 241, 242, 249, 252, 254]",[64],"['Transporte', 'Agua y Alimentos']","{'Transporte': (0.0, 0.23958333333333334, 0.4375), 'Agua y Alimentos': (0.5833333333333334, 0.5833333333333334, 0.5833333333333334)}","{8: (0.75, 0.9375, 1.0), 7: (0.0, 0.4, 0.75), 14: (0.75, 0.75, 0.75), 16: (1.0, 1.0, 1.0)}"
81,Luvias Intensas,"['Cantabria', 'Bizkaia', 'Asturias']",2023-09-12,2023-09-23,"[1, 234, 205, 206, 207]","[41, 42, 22, 57]","['Energia', 'Transporte', 'Sanidad']","{'Transporte': (0.25, 0.39285714285714285, 0.4375), 'Energia': (0.0, 0.0, 0.0)}","{7: (0.5, 0.6666666666666666, 0.75), 8: (1.0, 1.0, 1.0), 0: (0.0, 0.0, 0.0)}"
82,Desbordamientos,"['Cantabria', 'Bizkaia', 'Asturias']",2023-09-12,2023-09-23,"[1, 209, 210, 211, 212]","[41, 42, 22, 57]","['Transporte', 'Aguas Residuales']","{'Transporte': (0.25, 0.3125, 0.375), 'Aguas Residuales': (0.7058823529411765, 0.8566176470588236, 0.9411764705882353)}","{7: (0.5, 0.5, 0.5), 8: (1.0, 1.0, 1.0), 17: (0.75, 0.9166666666666666, 1.0), 19: (1.0, 1.0, 1.0), 18: (0.5, 0.75, 1.0)}"
83,Dana,"['Bizkaia', 'Asturias']",2023-09-12,2023-09-23,"[208, 185]","[41, 22]","['Energia', 'Transporte']","{'Transporte': (0.5, 0.5, 0.5), 'Energia': (0.11904761904761904, 0.11904761904761904, 0.11904761904761904)}","{6: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0), 0: (0.25, 0.25, 0.25)}"
84,Inundacion,"['Cantabria', 'Bizkaia']",2023-09-12,2023-09-17,"[234, 235, 204, 205, 206, 207, 208, 236]","[41, 42, 57]","['Energia', 'Sanidad', 'Transporte', 'Aguas Residuales']","{'Energia': (0.0, 0.1984126984126984, 0.47619047619047616), 'Transporte': (0.1875, 0.3680555555555556, 0.4375), 'Aguas Residuales': (0.9705882352941176, 0.9705882352941176, 0.9705882352941176)}","{0: (0.0, 0.25, 0.5), 1: (1.0, 1.0, 1.0), 7: (0.75, 0.75, 0.75), 8: (0.75, 0.9722222222222222, 1.0), 17: (1.0, 1.0, 1.0), 18: (0.75, 0.75, 0.75), 19: (1.0, 1.0, 1.0)}"
85,Borrasca,['Barcelona'],2023-11-05,2023-11-10,"[200, 199]",[38],"['Transporte', 'Sanidad']","{'Transporte': (0.25, 0.59375, 0.9375), 'Sanidad': (0.08333333333333333, 0.08333333333333333, 0.08333333333333333)}","{5: (0.75, 0.75, 0.75), 6: (1.0, 1.0, 1.0), 7: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0), 11: (0.25, 0.25, 0.25)}"
86,Vientos fuertes,['Barcelona'],2023-11-05,2023-11-10,[199],[38],['Transporte'],"{'Transporte': (0.9375, 0.9375, 0.9375)}","{5: (0.75, 0.75, 0.75), 6: (1.0, 1.0, 1.0), 7: (1.0, 1.0, 1.0), 8: (1.0, 1.0, 1.0)}"
87,Inundacion,['A Coruna'],2023-09-10,2023-09-13,"[0, 1]",[1],"['Transporte', 'Agua y Alimentos']","{'Transporte': (0.0, 0.1875, 0.375), 'Agua y Alimentos': (0.3333333333333333, 0.3333333333333333, 0.3333333333333333)}","{8: (0.0, 0.5, 1.0), 15: (1.0, 1.0, 1.0), 7: (0.5, 0.5, 0.5)}"
88,Luvias Intensas,['A Coruna'],2023-09-10,2023-09-13,"[1, 2]",[1],['Transporte'],"{'Transporte': (0.375, 0.375, 0.375)}","{7: (0.5, 0.5, 0.5), 8: (1.0, 1.0, 1.0)}"
