,date,disaster,province,total_cost,claims,duration,losses_day
277,2023-12-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,28015.0,5,2,14007.5
278,2023-10-19,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Badajoz,5000.0,1,1,5000.0
281,2023-01-18,CAUSAS NATURALES/EMBATE DE MAR,"Balears, Illes",21389.0,3,3,7129.666666666667
282,2023-01-20,CAUSAS NATURALES/EMBATE DE MAR,"Balears, Illes",7597.0,3,1,7597.0
283,2023-02-09,CAUSAS NATURALES/EMBATE DE MAR,"Balears, Illes",3926.0,1,1,3926.0
285,2023-02-28,CAUSAS NATURALES/EMBATE DE MAR,"Balears, Illes",31139.0,3,2,15569.5
286,2023-09-03,CAUSAS NATURALES/EMBATE DE MAR,"Balears, Illes",13969.0,1,1,13969.0
288,2023-10-20,CAUSAS NATURALES/EMBATE DE MAR,"Balears, Illes",327948.0,8,2,163974.0
289,2023-11-05,CAUSAS NATURALES/EMBATE DE MAR,"Balears, Illes",22669.0,2,1,22669.0
290,2023-01-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",726.0,1,1,726.0
291,2023-01-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",4063.0,1,1,4063.0
292,2023-02-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",3803.0,1,1,3803.0
297,2023-03-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",2060102.0,259,5,412020.4
300,2023-03-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",31062.0,4,3,10354.0
301,2023-03-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",10070.0,1,1,10070.0
302,2023-04-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",2203.0,1,1,2203.0
303,2023-04-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",1460.0,1,1,1460.0
304,2023-05-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",8460.0,1,1,8460.0
305,2023-05-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",9224.0,1,1,9224.0
306,2023-05-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",22367.0,3,1,22367.0
308,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",3666.0,2,2,1833.0
310,2023-05-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",15040.0,10,2,7520.0
315,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",177515.0,41,5,35503.0
316,2023-06-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",3035.0,1,1,3035.0
317,2023-06-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",2880.0,1,1,2880.0
318,2023-06-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",3190.0,1,1,3190.0
320,2023-08-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",42450.0,5,2,21225.0
323,2023-08-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",299047.0,75,3,99682.33333333333
326,2023-09-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",18077.0,6,3,6025.666666666667
328,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",3926.0,2,2,1963.0
331,2023-09-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",713279.0,88,3,237759.66666666666
333,2023-09-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",23387.0,2,2,11693.5
334,2023-10-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",2504.0,2,1,2504.0
337,2023-10-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",336539.0,70,3,112179.66666666667
338,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",14289.0,1,1,14289.0
339,2023-10-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",4825.0,1,1,4825.0
340,2023-11-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,"Balears, Illes",11811.0,2,1,11811.0
341,2023-01-07,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Balears, Illes",119.0,1,1,119.0
342,2023-01-09,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Balears, Illes",1339.0,2,1,1339.0
352,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Balears, Illes",1268193.0,1418,10,126819.3
355,2023-02-28,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Balears, Illes",582480.0,242,3,194160.0
356,2023-08-27,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Balears, Illes",513358.0,312,1,513358.0
357,2023-10-15,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Balears, Illes",40657.0,7,1,40657.0
362,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,"Balears, Illes",11554.0,13,5,2310.8
364,2023-02-07,CAUSAS NATURALES/EMBATE DE MAR,Barcelona,99611.0,4,2,49805.5
365,2023-02-23,CAUSAS NATURALES/EMBATE DE MAR,Barcelona,970.0,1,1,970.0
366,2023-10-17,CAUSAS NATURALES/EMBATE DE MAR,Barcelona,7984.0,1,1,7984.0
369,2023-10-21,CAUSAS NATURALES/EMBATE DE MAR,Barcelona,122544.0,7,3,40848.0
373,2023-05-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,112434.0,26,4,28108.5
374,2023-05-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,11940.0,1,1,11940.0
376,2023-05-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,17950.0,6,2,8975.0
380,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,55673.0,16,4,13918.25
382,2023-05-31,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,21783.0,3,2,10891.5
387,2023-06-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,106201.0,21,5,21240.2
389,2023-06-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,42623.0,8,2,21311.5
393,2023-06-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,962662.0,224,4,240665.5
394,2023-06-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,4663.0,1,1,4663.0
398,2023-07-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,197903.0,49,4,49475.75
400,2023-07-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,4189.0,2,2,2094.5
406,2023-08-31,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,288482.0,100,6,48080.333333333336
409,2023-09-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,33286.0,8,3,11095.333333333334
411,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,1750.0,2,2,875.0
413,2023-10-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,17793.0,2,2,8896.5
415,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Barcelona,22877.0,4,2,11438.5
420,2023-01-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Barcelona,53507.0,67,5,10701.4
421,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Barcelona,3090.0,1,1,3090.0
422,2023-10-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Barcelona,816.0,1,1,816.0
423,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Barcelona,57.0,1,1,57.0
428,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Barcelona,592618.0,666,5,118523.6
430,2023-11-22,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Barcelona,3131.0,3,2,1565.5
431,2023-11-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Barcelona,372.0,1,1,372.0
432,2023-08-03,CAUSAS NATURALES/EMBATE DE MAR,Bizkaia,7656.0,1,1,7656.0
435,2023-01-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,203437.0,60,3,67812.33333333333
436,2023-05-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,4663.0,1,1,4663.0
437,2023-06-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,493.0,1,1,493.0
438,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,8067.0,6,1,8067.0
442,2023-06-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,166655.0,59,4,41663.75
443,2023-08-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,6691.0,1,1,6691.0
444,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,380.0,1,1,380.0
448,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,324850.0,72,4,81212.5
449,2023-09-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,679703.0,80,1,679703.0
450,2023-09-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,3053.0,1,1,3053.0
451,2023-10-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,6528.0,1,1,6528.0
452,2023-10-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,3982.0,1,1,3982.0
453,2023-11-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Bizkaia,121.0,1,1,121.0
454,2023-01-01,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,649.0,1,1,649.0
456,2023-01-08,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,30858.0,42,2,15429.0
466,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,294264.0,247,10,29426.4
471,2023-10-21,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,17081.0,29,5,3416.2
473,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,4698.0,7,2,2349.0
478,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,2106383.0,2060,5,421276.6
479,2023-12-07,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,6920.0,7,1,6920.0
480,2023-12-27,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,149.0,1,1,149.0
481,2023-12-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Bizkaia,236.0,1,1,236.0
482,2023-01-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,111.0,1,1,111.0
483,2023-03-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,4309.0,1,1,4309.0
485,2023-04-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,6246.0,4,2,3123.0
494,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,98796.0,36,9,10977.333333333334
495,2023-06-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,416.0,1,1,416.0
498,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,569759.0,46,3,189919.66666666666
499,2023-06-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,818.0,1,1,818.0
504,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,97029.0,37,5,19405.8
505,2023-06-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,1335.0,2,1,1335.0
506,2023-06-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,782.0,1,1,782.0
507,2023-07-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,567.0,1,1,567.0
508,2023-07-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,288.0,2,1,288.0
509,2023-09-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,552.0,1,1,552.0
513,2023-09-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,10773.0,9,4,2693.25
514,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,2505.0,1,1,2505.0
515,2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,1457.0,1,1,1457.0
516,2023-11-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Burgos,5011.0,1,1,5011.0
517,2023-01-01,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Burgos,11862.0,8,1,11862.0
524,2023-01-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Burgos,33821.0,44,7,4831.571428571428
526,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Burgos,1772.0,6,2,886.0
530,2023-10-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Burgos,37655.0,43,4,9413.75
532,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Burgos,469.0,3,2,234.5
541,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Burgos,478381.0,580,9,53153.444444444445
542,2023-01-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,380.0,1,1,380.0
544,2023-01-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,19590.0,4,2,9795.0
545,2023-03-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,4824.0,1,1,4824.0
546,2023-05-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,546.0,1,1,546.0
548,2023-05-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,16073.0,8,2,8036.5
550,2023-06-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,10341.0,6,2,5170.5
551,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,8874.0,3,1,8874.0
553,2023-06-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,28868.0,8,2,14434.0
554,2023-06-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,4049.0,1,1,4049.0
555,2023-06-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,902.0,1,1,902.0
557,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,76450.0,15,2,38225.0
560,2023-09-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,56371.0,11,3,18790.333333333332
562,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,328257.0,35,2,164128.5
563,2023-10-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,18140.0,1,1,18140.0
564,2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,17705.0,2,1,17705.0
565,2023-11-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,1090.0,1,1,1090.0
567,2023-12-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Caceres,83578.0,17,2,41789.0
571,2023-10-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Caceres,2378.0,7,4,594.5
575,2023-11-04,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Caceres,5666.0,10,4,1416.5
576,2023-02-10,CAUSAS NATURALES/EMBATE DE MAR,Cadiz,10584.0,2,1,10584.0
577,2023-02-14,CAUSAS NATURALES/EMBATE DE MAR,Cadiz,5540.0,3,1,5540.0
578,2023-02-18,CAUSAS NATURALES/EMBATE DE MAR,Cadiz,7363.0,2,1,7363.0
579,2023-10-22,CAUSAS NATURALES/EMBATE DE MAR,Cadiz,8088.0,1,1,8088.0
582,2023-01-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,438345.0,99,3,146115.0
583,2023-01-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,2867.0,1,1,2867.0
584,2023-01-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,4493.0,2,1,4493.0
586,2023-02-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,137587.0,56,2,68793.5
587,2023-02-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,1830.0,1,1,1830.0
588,2023-05-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,6975.0,2,1,6975.0
589,2023-05-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,1475.0,1,1,1475.0
591,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,343876.0,46,2,171938.0
592,2023-09-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,2102.0,1,1,2102.0
593,2023-10-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,32094.0,15,1,32094.0
595,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,82002.0,21,2,41001.0
597,2023-10-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cadiz,42318.0,6,2,21159.0
598,2023-01-02,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cadiz,1389.0,1,1,1389.0
606,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cadiz,4969237.0,5323,8,621154.625
607,2023-09-30,CAUSAS NATURALES/EMBATE DE MAR,Cantabria,2847.0,2,1,2847.0
608,2023-01-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,3287.0,2,1,3287.0
616,2023-01-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,2532662.0,755,8,316582.75
617,2023-01-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,8064.0,2,1,8064.0
618,2023-01-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,190.0,1,1,190.0
619,2023-02-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,3919.0,1,1,3919.0
620,2023-02-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,1263.0,1,1,1263.0
621,2023-02-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,192.0,1,1,192.0
622,2023-05-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,120.0,1,1,120.0
623,2023-05-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,37717.0,22,1,37717.0
624,2023-05-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,2027.0,1,1,2027.0
625,2023-05-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,110.0,1,1,110.0
626,2023-05-31,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,853.0,1,1,853.0
627,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,3406.0,1,1,3406.0
630,2023-06-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,33567.0,15,3,11189.0
633,2023-06-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,34745.0,18,3,11581.666666666666
634,2023-06-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,600.0,1,1,600.0
636,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,7883.0,2,2,3941.5
637,2023-09-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,4018.0,1,1,4018.0
640,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,400702.0,113,3,133567.33333333334
641,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,844.0,1,1,844.0
643,2023-09-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,2423.0,2,2,1211.5
645,2023-10-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,7948.0,3,2,3974.0
646,2023-11-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,4014.0,1,1,4014.0
647,2023-11-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,6982.0,1,1,6982.0
648,2023-11-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,776.0,1,1,776.0
649,2023-12-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cantabria,0.0,1,1,0.0
650,2023-01-01,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cantabria,24516.0,32,1,24516.0
651,2023-01-07,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cantabria,3763.0,8,1,3763.0
661,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cantabria,1055017.0,1639,10,105501.7
669,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cantabria,253554.0,490,8,31694.25
670,2023-10-28,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cantabria,2616.0,5,1,2616.0
676,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cantabria,1117113.0,1832,6,186185.5
677,2023-12-03,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cantabria,1892.0,1,1,1892.0
678,2023-12-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Cantabria,85.0,1,1,85.0
679,2023-02-07,CAUSAS NATURALES/EMBATE DE MAR,Castellon/Castello,2768.0,1,1,2768.0
680,2023-09-03,CAUSAS NATURALES/EMBATE DE MAR,Castellon/Castello,833.0,1,1,833.0
681,2023-01-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,1642.0,1,1,1642.0
682,2023-02-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,11272.0,1,1,11272.0
683,2023-05-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,6186.0,5,1,6186.0
688,2023-05-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,4209965.0,1053,5,841993.0
689,2023-06-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,4590.0,1,1,4590.0
690,2023-08-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,14104.0,3,1,14104.0
694,2023-09-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,505686.0,140,4,126421.5
695,2023-09-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,3345.0,1,1,3345.0
697,2023-09-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,1737279.0,169,2,868639.5
698,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,66970.0,20,1,66970.0
699,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,3615.0,2,1,3615.0
700,2023-09-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Castellon/Castello,30202.0,13,1,30202.0
707,2023-01-22,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Castellon/Castello,60361.0,42,7,8623.0
708,2023-09-12,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Castellon/Castello,1869828.0,781,1,1869828.0
713,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Castellon/Castello,257560.0,419,5,51512.0
714,2023-10-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ceuta,4125.0,1,1,4125.0
715,2023-01-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,818.0,1,1,818.0
719,2023-05-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,41922.0,22,4,10480.5
724,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,60202.0,36,5,12040.4
725,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,1631.0,3,1,1631.0
732,2023-09-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,831294.0,354,7,118756.28571428571
733,2023-09-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,1770.0,1,1,1770.0
738,2023-09-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,87090.0,35,5,17418.0
739,2023-09-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,5214.0,1,1,5214.0
740,2023-10-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ciudad Real,459.0,1,1,459.0
741,2023-09-03,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Ciudad Real,555991.0,29,1,555991.0
742,2023-01-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cordoba,932.0,1,1,932.0
744,2023-05-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cordoba,19893.0,5,2,9946.5
748,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cordoba,456694.0,18,4,114173.5
749,2023-06-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cordoba,2197.0,2,1,2197.0
750,2023-09-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cordoba,248.0,1,1,248.0
753,2023-09-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Cordoba,56019.0,13,3,18673.0
