,date,disaster,province,total_cost,claims,duration,losses_day
2108,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valencia/Valencia,1958.0,2,1,1958.0
2109,2023-07-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valencia/Valencia,88027.0,22,1,88027.0
2111,2023-08-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valencia/Valencia,105209.0,41,2,52604.5
2122,2023-09-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valencia/Valencia,2439287.0,751,11,221753.36363636365
2130,2023-09-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valencia/Valencia,2910921.0,958,8,363865.125
2140,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Valencia/Valencia,1016399.0,881,10,101639.9
2141,2023-08-26,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Valencia/Valencia,661730.0,302,1,661730.0
2142,2023-09-15,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Valencia/Valencia,16753.0,2,1,16753.0
2143,2023-09-17,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Valencia/Valencia,385.0,1,1,385.0
2148,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Valencia/Valencia,1324032.0,1490,5,264806.4
2149,2023-05-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valladolid,1923.0,1,1,1923.0
2167,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valladolid,872600.0,277,18,48477.77777777778
2170,2023-06-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valladolid,76649.0,26,3,25549.666666666668
2173,2023-06-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valladolid,13453.0,5,3,4484.333333333333
2179,2023-09-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valladolid,379635.0,131,6,63272.5
2181,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Valladolid,6795.0,4,2,3397.5
2186,2023-06-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zamora,45793.0,16,5,9158.6
2188,2023-06-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zamora,31587.0,9,2,15793.5
2194,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zamora,83424.0,24,6,13904.0
2195,2023-06-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zamora,1879.0,1,1,1879.0
2196,2023-07-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zamora,408.0,1,1,408.0
2197,2023-09-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zamora,2475.0,1,1,2475.0
2199,2023-01-17,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zamora,3166.0,8,2,1583.0
2200,2023-01-19,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zamora,261.0,1,1,261.0
2201,2023-10-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zamora,309.0,1,1,309.0
2205,2023-11-04,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Zamora,11275.0,22,4,2818.75
2206,2023-04-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,1999.0,1,1,1999.0
2207,2023-05-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,5185.0,1,1,5185.0
2208,2023-05-31,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,41847.0,3,1,41847.0
2210,2023-06-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,40800.0,30,2,20400.0
2212,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Zaragoza,12987.0,8,2,6493.5
