,date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
18,2023-04-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,760.0,1,[15680],1,760.0
19,2023-05-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,1360.0,1,[15181],1,1360.0
20,2023-05-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,33742.0,11,"[15703, 15228, 15704, 15705, 15707, 15706, 15881, 15702, 15703, 15881, 15890]",1,33742.0
21,2023-05-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,630.0,1,[15810],1,630.0
24,2023-06-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,53983.0,13,"[15819, 15820, 15701, 15702, 15703, 15707, 15229]",3,17994.333333333332
28,2023-06-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,42574.0,15,"[15168, 15687, 15688, 15177, 15689, 15570, 15001, 15190, 15002, 15160, 15705, 15898]",4,10643.5
29,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,14026.0,6,"[15150, 15150, 15316, 15150, 15001, 15819]",1,14026.0
30,2023-06-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,398.0,1,[15839],1,398.0
31,2023-09-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,5730.0,2,"[15300, 15178]",1,5730.0
34,2023-09-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,82303.0,20,"[15200, 15177, 15178, 15179, 15703, 15165]",3,27434.333333333332
35,2023-09-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,20891.0,2,"[15702, 15702]",1,20891.0
36,2023-09-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,26913.0,1,[15702],1,26913.0
37,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,13206.0,4,"[15165, 15147, 15705, 15186]",1,13206.0
38,2023-09-28,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,720.0,1,[15173],1,720.0
39,2023-10-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,4339.0,4,"[15168, 15621, 15350, 15705]",1,4339.0
40,2023-10-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,40.0,1,[15701],1,40.0
44,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,199758.0,68,"[15890, 15640, 15898, 15006, 15011, 15660, 15938, 15300, 15174, 15175, 15820, 15701, 15702, 15703, 15705, 15706, 15707, 15200, 15970, 15866]",4,49939.5
49,2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,206401.0,46,"[15888, 15898, 15900, 15401, 15402, 15154, 15930, 15300, 15940, 15178, 15820, 15702, 15190, 15960, 15705, 15707, 15967, 15200, 15220]",5,41280.2
57,2023-11-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,109953.0,30,"[15110, 15622, 15625, 15116, 15510, 15129, 15258, 15004, 15006, 15405, 15150, 15917, 15920, 15288, 15173, 15560, 15177, 15702, 15320, 15705, 15967, 15845, 15980, 15984, 15230]",8,13744.125
58,2023-11-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,3655.0,3,"[15110, 15110, 15110]",1,3655.0
62,2023-11-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,735753.0,121,"[15619, 15621, 15622, 15110, 15624, 15625, 15626, 15500, 15630, 15124, 15509, 15510, 15126, 15256, 15129, 15258, 15520, 15270, 15401, 15404, 15405, 15150, 15151, 15406, 15168, 15552, 15688, 15177, 15560, 15570, 15572, 15573, 15830, 15577, 15840, 15587, 15594, 15349, 15609]",4,183938.25
64,2023-11-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,3360.0,2,"[15593, 15138]",2,1680.0
66,2023-12-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,17008.0,4,"[15992, 15969, 15200, 15124]",2,8504.0
67,2023-12-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,1304.0,1,[15701],1,1304.0
68,2023-12-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,1771.0,2,"[15609, 15368]",1,1771.0
69,2023-01-01,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,12462.0,10,"[15114, 15117, 15129, 15151, 15114, 15350, 15553, 15258, 15359, 15130]",1,12462.0
70,2023-01-09,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,388.0,1,[15350],1,388.0
80,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,303016.0,302,"[15360, 15619, 15365, 15366, 15367, 15368, 15369, 15001, 15542, 15543, 15550, 15551, 15552, 15553, 15555, 15560, 15563, 15564, 15565, 15569, 15315, 15317, 15576, 15320, 15325, 15327, 15330, 15332, 15337, 15338, 15339, 15340, 15349, 15350, 15609, 15612, 15613, 15359]",10,30301.6
82,2023-03-14,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,1643.0,6,"[15337, 15330, 15339, 15365]",2,821.5
83,2023-03-27,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,46.0,1,[15339],1,46.0
84,2023-03-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,1475.0,4,"[15350, 15360, 15359, 15350]",1,1475.0
85,2023-06-18,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,8989.0,1,[15617],1,8989.0
86,2023-10-13,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,4442.0,2,"[15138, 15292]",1,4442.0
94,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,161567.0,170,"[15360, 15365, 15238, 15367, 15237, 15115, 15116, 15117, 15118, 15121, 15250, 15123, 15124, 15125, 15126, 15256, 15129, 15130, 15258, 15259, 15138, 15270, 15147, 15149, 15151, 15153, 15154, 15155, 15287, 15290, 15291, 15292, 15293, 15550, 15551, 15552, 15553, 15298, 15554, 15565, 15830, 15320, 15838, 15840, 15330, 15337, 15338, 15339, 15850, 15350, 15863, 15357, 15230]",8,20195.875
96,2023-10-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,14619.0,7,"[15380, 15350, 15358, 15387, 15390, 15391]",2,7309.5
101,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,1514909.0,2128,"[15360, 15873, 15365, 15880, 15881, 15882, 15883, 15884, 15885, 15886, 15368, 15888, 15890, 15891, 15892, 15893, 15894, 15895, 15896, 15897, 15898, 15899, 15900, 15911, 15401, 15402, 15403, 15404, 15405, 15406, 15920, 15928, 15930, 15937, 15938, 15939, 15940, 15948, 15949, 15950, 15959, 15960, 15965, 15966, 15967, 15968, 15969, 15970, 15978, 15979, 15980, 15981, 15984, 15985, 15990, 15991, 15992, 15993, 15994, 15995, 15996, 15999, 15500, 15509, 15510, 15520, 15008, 15528, 15530, 15540, 15541, 15542, 15543, 15550, 15551, 15552, 15553, 15554, 15560, 15562, 15563, 15564, 15565, 15567, 15568, 15569, 15570, 15572, 15573, 15576, 15577, 15578, 15590, 15592, 15593, 15594, 15595, 15596, 15597, 15617, 15598, 15619, 15611, 15100, 15613, 15612, 15102, 15105, 15106, 15107, 15620, 15109, 15110, 15623, 15624, 15113, 15626, 15621, 15108, 15117, 15118, 15625, 15111, 15121, 15115, 15123, 15124, 15125, 15122, 15116, 15128, 15129, 15130, 15627, 15138, 15140, 15141, 15142, 15119, 15144, 15145, 15146, 15147, 15148, 15149, 15150, 15151, 15152, 15153, 15154, 15155, 15622, 15683, 15684, 15687, 15688, 15689, 15690, 15185, 15186, 15187, 15188, 15189, 15702, 15703, 15704, 15705, 15706, 15707, 15701, 15200, 15210, 15212, 15213, 15214, 15218, 15220, 15230, 15237, 15240, 15250, 15256, 15258, 15259, 15270, 15280, 15282, 15286, 15287, 15288, 15290, 15291, 15292, 15293, 15297, 15299, 15813, 15814, 15820, 15313, 15315, 15317, 15830, 15320, 15837, 15838, 15839, 15840, 15841, 15330, 15332, 15845, 15846, 15847, 15848, 15337, 15338, 15339, 15850, 15851, 15855, 15857, 15858, 15859, 15860, 15347, 15350, 15863, 15864, 15865, 15866, 15357, 15870, 15359]",5,302981.8
102,2023-12-03,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,1141.0,1,[15250],1,1141.0
103,2023-12-08,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,182.0,1,[15339],1,182.0
104,2023-05-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,517.0,1,[2500],1,517.0
105,2023-05-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,3032.0,1,[2120],1,3032.0
109,2023-06-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,13669.0,6,"[2600, 2510, 2320, 2513, 2100, 2651]",4,3417.25
112,2023-06-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,11881.0,7,"[2249, 2220, 2316, 2480, 2430]",3,3960.3333333333335
113,2023-06-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,1355.0,2,"[2640, 2640]",1,1355.0
114,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,5650.0,1,[2510],1,5650.0
116,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,37987.0,7,"[2600, 2630]",2,18993.5
117,2023-09-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,3670.0,1,[2513],1,3670.0
118,2023-09-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,24760.0,8,"[2150, 2150, 2210, 2210, 2151, 2210, 2210, 2210]",1,24760.0
119,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,14402.0,2,"[2240, 2653]",1,14402.0
120,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,3632.0,1,[2240],1,3632.0
122,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,2665.0,2,"[2260, 2246]",2,1332.5
127,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Albacete,23270.0,44,"[2400, 2434, 2435, 2437, 2315, 2480, 2450, 2420]",5,4654.0
128,2023-02-08,CAUSAS NATURALES/EMBATE DE MAR,Alicante,112.0,1,[3779],1,112.0
129,2023-09-01,CAUSAS NATURALES/EMBATE DE MAR,Alicante,536.0,1,[3730],1,536.0
130,2023-09-04,CAUSAS NATURALES/EMBATE DE MAR,Alicante,6412.0,1,[3720],1,6412.0
132,2023-05-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,4412.0,4,"[3600, 3410, 3610, 3640]",2,2206.0
133,2023-05-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,1338.0,1,[3600],1,1338.0
134,2023-05-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,3156.0,2,"[3420, 3680]",1,3156.0
138,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,524440.0,80,"[3202, 3203, 3204, 3460, 3206, 3590, 3339, 3727, 3730, 3349, 3109, 3110, 3111, 3113, 3115, 3502, 3509, 3001, 3004, 3006, 3008, 3520, 3650, 3012, 3400, 3016, 3660, 3791, 3409, 3540, 3158, 3801, 3802, 3420, 3293, 3550, 3680, 3296, 3560, 3690, 3820, 3698, 3699, 3830, 3320, 3450]",4,131110.0
141,2023-05-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,26040.0,10,"[3201, 3170, 3460, 3206, 3015, 3688, 3660, 3409, 3291, 3420]",3,8680.0
144,2023-06-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,66704.0,17,"[3400, 3820, 3409, 3801, 3450]",3,22234.666666666668
145,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,72363.0,26,"[3130, 3300, 3202, 3201, 3202, 3201, 3316, 3205, 3290, 3290, 3290, 3014, 3315, 3290, 3203, 3300, 3296, 3202, 3130, 3296, 3202, 3202, 3300, 3350, 3130, 3204]",1,72363.0
146,2023-07-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,193.0,1,[3779],1,193.0
147,2023-08-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,2361.0,1,[3440],1,2361.0
149,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,64758.0,17,"[3009, 3110, 3016, 3560, 3690, 3503, 3440, 3540, 3130, 3004, 3550]",2,32379.0
150,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,6205.0,2,"[3160, 3770]",1,6205.0
151,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,86390.0,30,"[3130, 3560, 3750, 3770, 3290, 3770, 3313, 3560, 3130, 3380, 3560, 3578, 3578, 3130, 3560, 3130, 3008, 3770, 3730, 3130, 3560, 3110, 3130, 3100, 3560, 3569, 3560, 3770, 3700, 3195]",1,86390.0
152,2023-09-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,10994.0,5,"[3690, 3610, 3690, 3770, 3730]",1,10994.0
157,2023-01-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante,36423.0,39,"[3400, 3409]",5,7284.6
158,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante,156.0,1,[3400],1,156.0
159,2023-04-29,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante,39918.0,42,"[3400, 3400, 3400, 3400, 3409, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3409, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400]",1,39918.0
160,2023-05-13,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante,2867.0,3,"[3700, 3779, 3700]",1,2867.0
161,2023-07-11,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante,95267.0,99,"[3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3409, 3400, 3400, 3400, 3400, 3400, 3409, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400]",1,95267.0
162,2023-08-04,CAUSAS NATURALES/EMBATE DE MAR,Almeria,2704.0,1,[4620],1,2704.0
164,2023-09-03,CAUSAS NATURALES/EMBATE DE MAR,Almeria,18774.0,2,[4620],2,9387.0
165,2023-05-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,2194.0,1,[4716],1,2194.0
174,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,1825564.0,192,"[4610, 4867, 4100, 4616, 4617, 4618, 4619, 4620, 4110, 4628, 4117, 4120, 4890, 4638, 4639, 4640, 4001, 4131, 4007, 4648, 4009, 4647, 4271, 4661, 4150, 4811, 4814, 4692, 4693, 4694, 4700, 4200, 4210, 4600]",9,202840.44444444444
176,2023-05-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,39746.0,8,"[4768, 4648, 4660, 4600, 4540]",2,19873.0
180,2023-06-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,114746.0,15,"[4260, 4005, 4200, 4620, 4560, 4760]",4,28686.5
181,2023-06-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,1157.0,1,[4620],1,1157.0
182,2023-06-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,5687.0,1,[4662],1,5687.0
184,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,4010.0,4,"[4648, 4700, 4230, 4711]",2,2005.0
194,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,574182.0,572,"[4610, 4738, 4740, 4867, 4870, 4616, 4617, 4746, 4619, 4620, 4618, 4750, 4879, 4880, 4628, 4500, 4887, 4120, 4760, 4890, 4640, 4001, 4002, 4131, 4004, 4005, 4006, 4647, 4648, 4007, 4008, 4009, 4650, 4130, 4003, 4271, 4660, 4661, 4150, 4151, 4409, 4800, 4810, 4813, 4820, 4693, 4700, 4829, 4830, 4838, 4711, 4712, 4713, 4710, 4715, 4728, 4717, 4716, 4720, 4850, 4727, 4600, 4860]",10,57418.2
202,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,304678.0,187,"[4738, 4867, 4100, 4740, 4230, 4870, 4620, 4621, 4110, 4750, 4114, 4115, 4116, 4628, 4118, 4117, 4760, 4120, 4500, 4250, 4630, 4638, 4639, 4002, 4131, 4003, 4005, 4006, 4007, 4008, 4009, 4520, 4770, 4140, 4270, 4400, 4275, 4149, 4150, 4279, 4280, 4410, 4288, 4700, 4711, 4713, 4459, 4720, 4724, 4727, 4728, 4857]",8,38084.75
207,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,1420507.0,1315,"[4610, 4100, 4616, 4617, 4619, 4620, 4621, 4110, 4114, 4115, 4116, 4117, 4118, 4628, 4120, 4638, 4640, 4130, 4131, 4647, 4648, 4140, 4660, 4149, 4662, 4151, 4150, 4160, 4690, 4691, 4692, 4700, 4710, 4711, 4712, 4200, 4713, 4715, 4716, 4717, 4720, 4721, 4727, 4738, 4740, 4741, 4230, 4743, 4745, 4746, 4240, 4760, 4250, 4770, 4260, 4778, 4779, 4270, 4279, 4800, 4810, 4813, 4814, 4820, 4825, 4828, 4829, 4830, 4850, 4857, 4860, 4867, 4869, 4870, 4877, 4880, 4887, 4888, 4889, 4890, 4898, 4510, 4001, 4002, 4003, 4004, 4005, 4006, 4007, 4008, 4009, 4520, 4550, 4567, 4600]",5,284101.4
210,2023-06-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,22034.0,12,"[1426, 1423]",3,7344.666666666667
212,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,122218.0,24,"[1476, 1477, 1128, 1423, 1170, 1015, 1307, 1213, 1118]",2,61109.0
213,2023-06-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,19348.0,1,[1307],1,19348.0
218,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,132376.0,31,"[1474, 1476, 1320, 1193, 1449, 1322, 1426, 1300, 1307]",5,26475.2
219,2023-06-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,476.0,1,[1320],1,476.0
221,2023-07-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,253670.0,87,"[1420, 1430, 1191, 1192, 1330, 1206, 1118, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1010, 1012, 1013, 1015]",2,126835.0
222,2023-07-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,450.0,1,[1003],1,450.0
223,2023-09-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,18302.0,3,"[1300, 1300, 1110]",1,18302.0
224,2023-09-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,2522.0,1,[1307],1,2522.0
227,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,12030.0,7,"[1400, 1320, 1308, 1470]",3,4010.0
228,2023-01-14,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba,55.0,1,[1470],1,55.0
230,2023-01-17,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba,2796.0,6,"[1474, 1478, 1470, 1479]",2,1398.0
238,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba,35837.0,62,"[1408, 1423, 1426, 1427, 1428, 1191, 1192, 1193, 1194, 1468, 1213, 1470, 1216, 1474, 1230, 1999, 1118, 1001, 1002, 1003, 1004, 1006, 1007, 1008, 1009, 1010, 1139, 1013, 1015, 1400]",8,4479.625
240,2023-10-29,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba,5063.0,4,"[1450, 1477, 1470]",2,2531.5
246,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba,529259.0,555,"[1408, 1409, 1160, 1420, 1423, 1169, 1170, 1426, 1428, 1427, 1300, 1306, 1307, 1308, 1309, 1439, 1440, 1191, 1192, 1193, 1450, 1195, 1196, 1194, 1449, 1322, 1200, 1320, 1330, 1206, 1207, 1208, 1211, 1468, 1213, 1470, 1212, 1216, 1005, 1474, 1220, 1476, 1478, 1477, 1479, 1230, 1321, 1240, 1117, 1118, 1250, 1510, 1128, 1001, 1130, 1003, 1004, 1002, 1006, 1007, 1008, 1009, 1138, 1010, 1012, 1013, 1139, 1015, 1400, 1520]",6,88209.83333333333
247,2023-12-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba,3214.0,1,[1479],1,3214.0
248,2023-10-28,CAUSAS NATURALES/EMBATE DE MAR,Asturias,8564.0,2,"[33206, 33206]",1,8564.0
249,2023-01-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,2902.0,2,"[33779, 33779]",1,2902.0
255,2023-01-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,206797.0,65,"[33156, 33547, 33299, 33300, 33691, 33438, 33440, 33697, 33314, 33187, 33315, 33318, 33320, 33203, 33590, 33210, 33211, 33594, 33469, 33470, 33213, 33740, 33491, 33507, 33129, 33392, 33394, 33405]",6,34466.166666666664
256,2023-06-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,2944.0,1,[33013],1,2944.0
257,2023-06-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,2286.0,2,"[33119, 33420]",1,2286.0
259,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,8326.0,7,"[33299, 33691, 33900, 33013]",2,4163.0
260,2023-08-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,8228.0,2,"[33595, 33595]",1,8228.0
263,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,22865.0,7,"[33440, 33794, 33510, 33770, 33424, 33211]",3,7621.666666666667
271,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1182323.0,397,"[33920, 33929, 33930, 33420, 33423, 33424, 33937, 33938, 33299, 33425, 33429, 33430, 33180, 33438, 33311, 33825, 33314, 33187, 33186, 33192, 33193, 33195, 33199, 33201, 33202, 33203, 33204, 33205, 33206, 33207, 33208, 33209, 33210, 33211, 33595, 33212, 33470, 33390, 33600, 33350, 33617, 33618, 33750, 33879, 33119, 33510, 33001, 33900, 33518, 33519, 33007, 33392, 33010, 33394, 33011, 33012, 33391, 33009, 33008]",8,147790.375
272,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,98.0,1,[33510],1,98.0
273,2023-10-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1505.0,1,[33980],1,1505.0
274,2023-10-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,270.0,1,[33211],1,270.0
275,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,390.0,1,[33416],1,390.0
278,2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,19439.0,9,"[33770, 33316]",3,6479.666666666667
280,2023-11-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1851.0,3,"[33560, 33800]",2,925.5
281,2023-11-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1105.0,1,[33314],1,1105.0
282,2023-11-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1124.0,1,[33510],1,1124.0
283,2023-11-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,4663.0,1,[33567],1,4663.0
284,2023-01-01,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,6715.0,13,"[33555, 33554, 33554, 33840, 33555, 33556, 33818, 33556, 33555, 33554, 33556, 33817, 33730]",1,6715.0
287,2023-01-09,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,1950.0,5,"[33760, 33770, 33794, 33556]",3,650.0
297,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,879819.0,1049,"[33792, 33793, 33794, 33795, 33798, 33800, 33811, 33812, 33813, 33816, 33819, 33820, 33316, 33829, 33320, 33326, 33840, 33328, 33330, 33341, 33342, 33343, 33344, 33345, 33346, 33860, 33866, 33867, 33870, 33873, 33874, 33875, 33877, 33880, 33887, 33891, 33400, 33401, 33402, 33403, 33404, 33405, 33410, 33412, 33414, 33417, 33418, 33440, 33448, 33449, 33450, 33456, 33457, 33459, 33460, 33468, 33470, 33490, 33492, 33500, 33507, 33508, 33509, 33001, 33519, 33530, 33539, 33540, 33547, 33549, 33550, 33554, 33556, 33557, 33559, 33560, 33567, 33568, 33569, 33570, 33576, 33579, 33583, 33584, 33588, 33589, 33590, 33591, 33592, 33593, 33594, 33595, 33596, 33597, 33598, 33138, 33150, 33154, 33155, 33156, 33157, 33158, 33159, 33700, 33707, 33708, 33710, 33200, 33716, 33717, 33719, 33720, 33726, 33727, 33740, 33746, 33747, 33748, 33749, 33750, 33757, 33758, 33769, 33770, 33774, 33775, 33780, 33783, 33784, 33785, 33786, 33787, 33788, 33789, 33790, 33791]",10,87981.9
298,2023-03-08,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,2459.0,4,"[33787, 33785, 33707, 33700]",1,2459.0
